Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:4	asxr		rc://*/ta/man/translate/figs-parallelism	עַל־כֵּן֙ תָּפ֣וּג תּוֹרָ֔ה וְ⁠לֹֽא־יֵצֵ֥א לָ⁠נֶ֖צַח מִשְׁפָּ֑ט	1	These two clauses mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. If it would be helpful to your readers, you could combine them and express the emphasis in another way. Another approach would be to connect the phrases with a word that shows that the second phrase is repeating the first one, not saying something additional. See how you as a team have decided to translate the parallel phrases in the Psalms, and follow that approach here and throughout this psalm. Alternate translation: [Therefore the law is powerless because no one upholds justice]
1:4	gc9b		rc://*/ta/man/translate/grammar-connect-logic-result	עַל־כֵּן֙ תָּפ֣וּג תּוֹרָ֔ה	1	Here, **Therefore** indicates that what follows is the result of the injustice Habakkuk has just described. If it would be helpful in your language, you could use a different connecting word to express a result. Alternate translation: [As a result, the law weakens]
1:4	bi0e		rc://*/ta/man/translate/figs-metaphor	תָּפ֣וּג תּוֹרָ֔ה	1	Habakkuk is speaking of **the law** as if it were a person who could become physically weak. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [the law has no power]
1:4	f54h		rc://*/ta/man/translate/figs-metaphor	וְ⁠לֹֽא־יֵצֵ֥א לָ⁠נֶ֖צַח מִשְׁפָּ֑ט	1	Habakkuk is speaking of **justice** as if it were a person who could go out and act. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [and judges do not make fair decisions]
1:4	id77		rc://*/ta/man/translate/figs-abstractnouns	מִשְׁפָּ֑ט	1	If your language does not use an abstract noun for the idea of **justice**, you could express the same idea in another way. Alternate translation: [a fair decision]
1:4	n93d		rc://*/ta/man/translate/figs-nominaladj	רָשָׁע֙	1	Habakkuk is using the adjective **wicked** as a noun to refer to a kind of person. If your language does not use adjectives as nouns, you could translate this with an equivalent phrase. Alternate translation: [the wicked person]
1:4	quro		rc://*/ta/man/translate/figs-nominaladj	אֶת־הַ⁠צַּדִּ֔יק	1	Habakkuk is using the adjective **righteous** as a noun to refer to a kind of person. If your language does not use adjectives as nouns, you could translate this with an equivalent phrase. Alternate translation: [the righteous person]
1:5	eub8		rc://*/ta/man/translate/writing-newevent	רְא֤וּ בַ⁠גּוֹיִם֙ וְֽ⁠הַבִּ֔יטוּ וְ⁠הִֽתַּמְּה֖וּ	1	Here Yahweh begins to respond to Habakkuk’s complaint. In your translation, introduce this new event in a way that would be natural in your own language and culture. See the UST for an example.
1:5	fk2h		rc://*/ta/man/translate/figs-imperative	רְא֤וּ בַ⁠גּוֹיִם֙ וְֽ⁠הַבִּ֔יטוּ וְ⁠הִֽתַּמְּה֖וּ תְּמָ֑הוּ	1	Yahweh is using these imperatives to command his audience to pay attention to what he is about to reveal. If a speaker of your language would not use commands in this way, you could translate these commands using another form that is natural in your language. Alternate translation: [You should look among the nations and pay attention, and you will be amazed and astonished!]
1:5	mfn3		rc://*/ta/man/translate/figs-reduplication	וְ⁠הִֽתַּמְּה֖וּ תְּמָ֑הוּ	1	Yahweh is the phrase **be amazed** in order to intensify his expression of the idea that it conveys. If your language can repeat words for intensification, it would be appropriate to do that here in your translation. If not, your language may have another way of expressing the intensification. Alternate translation: [and be utterly astonished!]
1:5	fuww		rc://*/ta/man/translate/writing-poetry	פֹ֨עַל֙ פֹּעֵ֣ל	1	The phrase **working a work** uses the same Hebrew root for both the verb and its object. This emphasizes the greatness or significance of the action. If it would be helpful in your language, you could express the emphasis in another way. Alternate translation: [I am doing a mighty deed]
1:6	lbrt		rc://*/ta/man/translate/figs-idiom	כִּֽי־הִנְ⁠נִ֤י מֵקִים֙ אֶת־הַ⁠כַּשְׂדִּ֔ים	1	The expression **behold me** was a common way of introducing a divine announcement. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [For pay attention, I am raising up the Chaldeans]
1:6	cw7y		rc://*/ta/man/translate/figs-123person	לֹּא־לֽ⁠וֹ	1	Here, **to him** refers to the Chaldean nation. Yahweh is describing the nation in the third person using a singular pronoun. If it would be helpful in your language, you could state the referent plainly. Alternate translation: [not belonging to them]
1:6	vd17		rc://*/ta/man/translate/figs-metaphor	הַ⁠גּ֖וֹי הַ⁠מַּ֣ר וְ⁠הַ⁠נִּמְהָ֑ר	1	Yahweh is speaking of the Chaldean nation as if it were a person with the emotional qualities of being **bitter** and hasty. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [a nation whose warriors are terrible and fast]
1:7	x7qc		rc://*/ta/man/translate/figs-abstractnouns	וּ⁠שְׂאֵת֖⁠וֹ	1	If your language does not use an abstract noun for the idea of **dignity**, you could express the same idea in another way. Alternate translation: [and his worthiness of respect]
1:7	gg5k		rc://*/ta/man/translate/figs-123person	אָיֹ֥ם וְ⁠נוֹרָ֖א ה֑וּא מִמֶּ֕⁠נּוּ מִשְׁפָּט֥⁠וֹ וּ⁠שְׂאֵת֖⁠וֹ יֵצֵֽא	1	The pronouns **He, him,** and **his** in this verse continue to refer to the Chaldean nation. See how Yahweh introduced this nation in the previous verse. If it would be helpful in your language, you could state the referent plainly. Alternate translation: [That nation is dreadful and terrifying; from it goes forth its own justice and its own dignity]
1:8	z7js		rc://*/ta/man/translate/figs-parallelism	וּ⁠פָ֖שׁוּ פָּֽרָשָׁ֑י⁠ו וּ⁠פָֽרָשָׁי⁠ו֙ מֵ⁠רָח֣וֹק יָבֹ֔אוּ	1	See how your translation team has decided to represent pairs of clauses in Hebrew poetry that mean basically the same thing. Alternate translation: [And his horsemen advance rapidly from far away]
1:8	wkdw		rc://*/ta/man/translate/figs-simile	יָעֻ֕פוּ כְּ⁠נֶ֖שֶׁר חָ֥שׁ לֶ⁠אֱכֽוֹל	1	Yahweh is comparing the Chaldean attack to **an eagle rushing to devour** its prey. If it would be helpful in your language, you could express this comparison in another way. Alternate translation: [they attack as swiftly as an eagle diving for prey]
1:9	sla0		rc://*/ta/man/translate/translate-alternativereadings	מְגַמַּ֥ת פְּנֵי⁠הֶ֖ם קָדִ֑ימָ⁠ה	1	The phrase **The direction of their faces {is} eastward** is a translation of the written Hebrew text. This reading, however, is only one of several possibilities suggested by scholars. Scholars have proposed some alternative readings, and you may want to follow one of those. The UST follows the first alternative. Alternate translation: [Everyone is terrified as they approach] or [The set of their faces is like the east wind]
1:9	mtqk		rc://*/ta/man/translate/figs-metonymy	מְגַמַּ֥ת פְּנֵי⁠הֶ֖ם קָדִ֑ימָ⁠ה	1	Here, **faces** represents the determined direction of the Chaldean advance. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [They all press forward toward the east]
1:9	qbb2		rc://*/ta/man/translate/writing-pronouns	וַ⁠יֶּאֱסֹ֥ף & שֶֽׁבִי	1	Here the singular pronoun **he** refers to the Chaldean nation collectively. If it would be helpful in your language, you could use the plural pronoun. Alternate translation: [and they gather captives]
1:9	cjmw		rc://*/ta/man/translate/figs-hyperbole	וַ⁠יֶּאֱסֹ֥ף כַּ⁠ח֖וֹל שֶֽׁבִי	1	Yahweh says that the Chaldean gathers captives **like the sand** as an extreme statement to emphasize the vast number of people captured. If it would be helpful in your language, you could express the emphasis in another way. Alternate translation: [and he gathers more captives than anyone can count]
1:10	ka98		rc://*/ta/man/translate/figs-parallelism	וְ⁠הוּא֙ בַּ⁠מְּלָכִ֣ים יִתְקַלָּ֔ס וְ⁠רֹזְנִ֖ים מִשְׂחָ֣ק ל֑⁠וֹ	1	See how your translation team has decided to represent pairs of clauses in Hebrew poetry that mean basically the same thing. Alternate translation: [And he thoroughly ridicules all rulers and kings]
1:10	is2i		rc://*/ta/man/translate/writing-pronouns	וְ⁠הוּא֙ בַּ⁠מְּלָכִ֣ים יִתְקַלָּ֔ס	1	Here, the author uses the independent pronoun **he** twice for emphasis in the Hebrew. If a speaker of your language would not repeat the pronoun, you could express the emphasis in another way. Alternate translation: [And he himself mocks at kings]
1:10	saag		rc://*/ta/man/translate/figs-metaphor	וְ⁠רֹזְנִ֖ים מִשְׂחָ֣ק ל֑⁠וֹ	1	The author is speaking of **rulers** as if they were merely objects of his **laughter**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [he laughs at rulers]
1:10	vbys		rc://*/ta/man/translate/figs-abstractnouns	מִשְׂחָ֣ק	1	If your language does not use an abstract noun for the idea of **laughter**, you could express the same idea in another way. Alternate translation: [are something he laughs at]
1:10	hoo6		rc://*/ta/man/translate/grammar-connect-logic-result	וַ⁠יִּצְבֹּ֥ר עָפָ֖ר וַֽ⁠יִּלְכְּדָֽ⁠הּ	1	In this verse, the mocking of kings and rulers is described before the military action that makes that mocking possible. He piles up a siege ramp and captures the fortress—and that is why he can mock. If your language needs an explicit connector to show that the second clause is the result of the first, you could use one. Alternate translation: [He piles up dirt and captures every fortress, and so he mocks at kings, and rulers are laughter to him.]
1:10	qawn		rc://*/ta/man/translate/writing-pronouns	ה֚וּא לְ⁠כָל־מִבְצָ֣ר יִשְׂחָ֔ק	1	Here the author again uses the independent pronoun **He** twice for emphasis in the Hebrew. If a speaker of your language would not repeat the pronoun, you could express the emphasis in another way. Alternate translation: [He himself laughs at every fortress]
1:11	ub9y		rc://*/ta/man/translate/grammar-connect-time-sequential	אָ֣ז חָלַ֥ף ר֛וּחַ וַֽ⁠יַּעֲבֹ֖ר	1	The word **Then** indicates that this event happens after the events previously described. If it would be helpful in your language, you could use a different connecting word to express a sequential relationship. Alternate translation: [After that, he sweeps by like the wind and goes on]
1:11	qu2y		rc://*/ta/man/translate/figs-simile	אָ֣ז חָלַ֥ף ר֛וּחַ וַֽ⁠יַּעֲבֹ֖ר	1	Yahweh is comparing the Chaldean’s advance to **the wind** to describe how quickly and unstoppably he passes through. If it would be helpful in your language, you could express this comparison in another way. Alternate translation: [Then he passes through swiftly and goes on]
1:11	okn9		rc://*/ta/man/translate/figs-metaphor	ז֥וּ כֹח֖⁠וֹ לֵ⁠אלֹהֽ⁠וֹ	1	The author is speaking of military **might** as if it were a **god** that the Chaldean worships. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [this one who treats his own strength as his deity]
1:11	bwuc		rc://*/ta/man/translate/figs-abstractnouns	כֹח֖⁠וֹ	1	If your language does not use an abstract noun for the idea of **might**, you could express the same idea in another way. Alternate translation: [whose strength in battle]
1:12	vx03		rc://*/ta/man/translate/figs-rquestion	הֲ⁠ל֧וֹא אַתָּ֣ה מִ⁠קֶּ֗דֶם יְהוָ֧ה אֱלֹהַ֛⁠י קְדֹשִׁ֖⁠י	1	Habakkuk is using the question form to affirm that Yahweh has existed from ancient times. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [You have existed from ancient times, Yahweh my God, my Holy One.]
1:12	kz2k		rc://*/ta/man/translate/figs-doublet	יְהוָ֧ה אֱלֹהַ֛⁠י קְדֹשִׁ֖⁠י	1	The terms **Yahweh my God** and **my Holy One** mean similar things. The writer is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [Yahweh, my holy God]
1:12	mp5m		rc://*/ta/man/translate/figs-abstractnouns	לְ⁠מִשְׁפָּ֣ט	1	If your language does not use an abstract noun for the idea of **judgment**, you could express the same idea in another way. Alternate translation: [for judging us]
1:12	zonc		rc://*/ta/man/translate/figs-metaphor	וְ⁠צ֖וּר	1	Habakkuk is speaking of Yahweh as if he were a **Rock**, to emphasize his stability and reliability. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [and our firm foundation]
1:12	lu08		rc://*/ta/man/translate/writing-newevent	הֲ⁠ל֧וֹא אַתָּ֣ה מִ⁠קֶּ֗דֶם	1	Here Habakkuk begins a second complaint to Yahweh, preparing to question why Yahweh would use the Chaldeans to punish Judah. In your translation, introduce this new event in a way that would be natural in your own language and culture. Alternate translation: [Have you not been from long ago]
1:13	lksk		rc://*/ta/man/translate/figs-metonymy	טְה֤וֹר עֵינַ֨יִם֙ מֵ⁠רְא֣וֹת רָ֔ע	1	Here, **Your eyes** represents Yahweh’s ability to perceive and attend to things. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [You are too pure to look at evil]
1:13	qs3u		rc://*/ta/man/translate/figs-parallelism	טְה֤וֹר עֵינַ֨יִם֙ מֵ⁠רְא֣וֹת רָ֔ע וְ⁠הַבִּ֥יט אֶל־עָמָ֖ל לֹ֣א תוּכָ֑ל	1	See how your translation team has decided to represent pairs of clauses in Hebrew poetry that mean basically the same thing. Alternate translation: [You are completely unable to look upon evil or trouble]
1:13	id86		rc://*/ta/man/translate/figs-rquestion	לָ֤⁠מָּה תַבִּיט֙ בּֽוֹגְדִ֔ים תַּחֲרִ֕ישׁ בְּ⁠בַלַּ֥ע רָשָׁ֖ע צַדִּ֥יק מִמֶּֽ⁠נּוּ	1	Habakkuk is using the question form to express his protest against Yahweh’s apparent tolerance of treachery. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [You should not look at treacherous ones or keep silent when the wicked devours one more righteous than him!]
1:13	hdok		rc://*/ta/man/translate/figs-nominaladj	רָשָׁ֖ע	1	Habakkuk is using the adjective **wicked** as a noun to refer to a kind of person. If your language does not use adjectives as nouns, you could translate this with an equivalent phrase. Alternate translation: [the wicked person]
1:14	bgvs		rc://*/ta/man/translate/figs-simile	וַ⁠תַּעֲשֶׂ֥ה אָדָ֖ם כִּ⁠דְגֵ֣י הַ⁠יָּ֑ם	1	Habakkuk is comparing helpless humans to **the fish of the sea**, which can be caught without resistance. If it would be helpful in your language, you could express this comparison in another way. Alternate translation: [And you make man as helpless as the fish of the sea]
1:14	khfk		rc://*/ta/man/translate/figs-ellipsis	כְּ⁠רֶ֖מֶשׂ לֹא־מֹשֵׁ֥ל בּֽ⁠וֹ	1	Habakkuk is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [and you make man like a creeping thing with no ruler over it]
1:14	cwdt		rc://*/ta/man/translate/figs-simile	כְּ⁠רֶ֖מֶשׂ לֹא־מֹשֵׁ֥ל בּֽ⁠וֹ	1	Habakkuk is comparing humans to **a creeping thing** that has no one to protect or lead it. If it would be helpful in your language, you could express this comparison in another way. Alternate translation: [like creatures that have no one to protect them]
1:15	f7s1		rc://*/ta/man/translate/figs-metaphor	כֻּלֹּ⁠ה֙ בְּ⁠חַכָּ֣ה הֵֽעֲלָ֔ה	1	Habakkuk is speaking of the Chaldean conquest as if the Chaldean were a fisherman pulling people up with **a hook**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [All of them, he captures easily]
1:15	qwbb		rc://*/ta/man/translate/figs-parallelism	יְגֹרֵ֣⁠הוּ בְ⁠חֶרְמ֔⁠וֹ וְ⁠יַאַסְפֵ֖⁠הוּ בְּ⁠מִכְמַרְתּ֑⁠וֹ	1	See how your translation team has decided to represent pairs of clauses in Hebrew poetry that mean basically the same thing. Alternate translation: [He catches him easily in his net] or [He drags him with his net; indeed, he gathers him with his dragnet]
1:15	ntg0		rc://*/ta/man/translate/figs-metaphor	יְגֹרֵ֣⁠הוּ בְ⁠חֶרְמ֔⁠וֹ וְ⁠יַאַסְפֵ֖⁠הוּ בְּ⁠מִכְמַרְתּ֑⁠וֹ	1	Habakkuk is speaking of the Chaldean conquest as if the Chaldean were a fisherman catching people with **his net** and **his dragnet**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [He captures people with his army, and he sweeps them up in large numbers]
1:16	ayr0		rc://*/ta/man/translate/figs-parallelism	עַל־כֵּן֙ יְזַבֵּ֣חַ לְ⁠חֶרְמ֔⁠וֹ וִֽ⁠יקַטֵּ֖ר לְ⁠מִכְמַרְתּ֑⁠וֹ	1	See how your translation team has decided to represent pairs of clauses in Hebrew poetry that mean basically the same thing. Alternate translation: [Therefore he worships his own weapons of war]
1:16	jst2		rc://*/ta/man/translate/figs-personification	עַל־כֵּן֙ יְזַבֵּ֣חַ לְ⁠חֶרְמ֔⁠וֹ וִֽ⁠יקַטֵּ֖ר לְ⁠מִכְמַרְתּ֑⁠וֹ	1	Habakkuk speaks of the Chaldean worshiping his **net** and **dragnet** as if those things were gods which could receive **sacrifices** and **incense**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [Therefore he gives credit to his weapons of war and honors them]
1:16	jj6h		rc://*/ta/man/translate/figs-metaphor	שָׁמֵ֣ן חֶלְק֔⁠וֹ וּ⁠מַאֲכָל֖⁠וֹ בְּרִאָֽה	1	Habakkuk is speaking of the Chaldean’s plunder as if it were **fat** and **rich** food. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [his portion is plentiful and his food is abundant]
1:16	r809		rc://*/ta/man/translate/figs-abstractnouns	חֶלְק֔⁠וֹ	1	If your language does not use an abstract noun for the idea of **his portion**, you could express the same idea in another way. Alternate translation: [what he receives]
1:17	rnpl		rc://*/ta/man/translate/figs-rquestion	הַ֥⁠עַל כֵּ֖ן יָרִ֣יק חֶרְמ֑⁠וֹ וְ⁠תָמִ֛יד לַ⁠הֲרֹ֥ג גּוֹיִ֖ם לֹ֥א יַחְמֽוֹל	1	Habakkuk is using the question form to challenge Yahweh about whether the Chaldean will continue conquering without mercy. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [Therefore, he should not keep emptying his net, and he should not keep slaying the nations continually!]
2:intro	nc48				0	# Habakkuk 2 Chapter Introduction\n\n## Structure and Formatting\n\nThis chapter contains Yahweh’s answer to Habakkuk’s second complaint. After instructing the prophet to write down a vision, Yahweh pronounces five oracles against the oppressor (verses 6-20), each beginning with “Woe.”\n\n## Religious and Cultural Concepts in This Chapter\n\n### The Righteous Shall Live by Faith\n\nVerse 4 contrasts the proud, whose soul is not upright, with the righteous, who shall live by faith. This verse is quoted three times in the New Testament.\n\n### Idolatry\n\nThe final woe oracle (verses 18-20) condemns the making and worshiping of idols, contrasting them with Yahweh, who is in his holy temple.
2:1	qet5		rc://*/ta/man/translate/figs-metaphor	עַל־מִשְׁמַרְתִּ֣⁠י אֶעֱמֹ֔דָה וְ⁠אֶֽתְיַצְּבָ֖ה עַל־מָצ֑וֹר	1	Habakkuk is speaking of his act of waiting for God’s reply as if he were a guard standing at a **watchtower**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I will wait attentively for what God will say to me]
2:1	am9r		rc://*/ta/man/translate/figs-abstractnouns	תּוֹכַחְתִּֽ⁠י	1	If your language does not use an abstract noun for the idea of **complaint**, you could express the same idea in another way. Alternate translation: [what I am complaining about]
