Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:9	xzwo		rc://*/ta/man/translate/figs-abstractnouns	טֻמְאָתָ֣⁠הּ	1	If your language does not use an abstract noun for the idea of **uncleanness**, you could express the same idea in another way. Alternate translation: [The way she has made herself impure]
1:9	ip2t		rc://*/ta/man/translate/figs-abstractnouns	אַחֲרִיתָ֔⁠הּ	1	If your language does not use an abstract noun for the idea of **her end**, you could express the same idea in another way. Alternate translation: [what would happen to her as a result]
1:9	ltsm		rc://*/ta/man/translate/figs-metaphor	וַ⁠תֵּ֣רֶד פְּלָאִ֔ים	1	The author is speaking of Jerusalem’s ruin as if she were going **down** to a lower place. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [And she was brought to ruin in an astonishing way]
1:9	cayc		rc://*/ta/man/translate/figs-rpronouns	הִגְדִּ֖יל אוֹיֵֽב	1	The word **himself** indicates that the object of the verb is the same as the subject of the verb. Use a way that is natural in your language to indicate that the enemy is the one doing the action to himself. Alternate translation: [the enemy has boasted greatly]
1:10	zilz		rc://*/ta/man/translate/figs-idiom	יָד⁠וֹ֙ פָּ֣רַשׂ צָ֔ר עַ֖ל כָּל־מַחֲמַדֶּ֑י⁠הָ	1	The author is using **spread out his hand over** as a common expression of the culture to mean “seized and took possession of.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [The adversary has seized all her precious things]
1:11	c9uj		rc://*/ta/man/translate/figs-synecdoche	מְבַקְּשִׁ֣ים לֶ֔חֶם	1	The author is using one kind of food, **bread**, to mean food in general. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [seeking food]
1:11	lqhr		rc://*/ta/man/translate/figs-abstractnouns	לְ⁠הָשִׁ֣יב נָ֑פֶשׁ	1	If your language does not use an abstract noun for the idea of **life**, you could express the same idea in another way. Alternate translation: [to keep themselves alive]
1:11	eu0r		rc://*/ta/man/translate/figs-quotations	רְאֵ֤ה יְהוָה֙ וְֽ⁠הַבִּ֔יטָ⁠ה כִּ֥י הָיִ֖יתִי זוֹלֵלָֽה	1	It would be good to present this as a direct quotation, if possible, to show that the city of Jerusalem is speaking to Yahweh.
1:12	k5id		rc://*/ta/man/translate/figs-apostrophe	ל֣וֹא אֲלֵי⁠כֶם֮ כָּל־עֹ֣בְרֵי דֶרֶךְ֒	1	Jerusalem is speaking to **all you who pass along the way**, people who are not in conversation with her. She is doing this to communicate to the people listening to her that she feels very strongly about her suffering. If it would be helpful in your language, you could translate these words as if she were speaking directly to the people about the passers–by. It would be good to present [verse12](../01/12.md) through [verse16](../01/16.md) as a direct quotation, if possible, to show that Jerusalem is speaking to the people. Alternate translation: [Is it nothing to all those who pass along the way]
1:12	labc		rc://*/ta/man/translate/figs-rquestion	ל֣וֹא אֲלֵי⁠כֶם֮ כָּל־עֹ֣בְרֵי דֶרֶךְ֒	1	Jerusalem is using the question form to emphasize that the passers–by should pay attention to its suffering and that no one has ever suffered as it has. If a speaker of your language would not use the question form for that purpose, you could translate this question as a statement or as an exclamation. Alternate translation: [You who pass along the way should care deeply about what has happened to me.]
1:12	z89v		rc://*/ta/man/translate/figs-idiom	בְּ⁠י֖וֹם חֲר֥וֹן אַפּֽ⁠וֹ	1	The speaker is using **the day of his burning anger** as a common expression of the culture to mean the time when Yahweh expressed his fierce anger in judgment. If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [at the time when he was fiercely angry]
1:13	gb10		rc://*/ta/man/translate/figs-metaphor	מִ⁠מָּר֛וֹם שָֽׁלַח־אֵ֥שׁ בְּ⁠עַצְמֹתַ֖⁠י וַ⁠יִּרְדֶּ֑⁠נָּה	1	Jerusalem is speaking as if God’s judgment were **fire** that **he sent** from heaven into her **bones** and that **ruled over them**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [From on high he sent suffering deep inside me, and it overwhelmed me]
1:13	bc3a		rc://*/ta/man/translate/figs-metaphor	פָּרַ֨שׂ רֶ֤שֶׁת לְ⁠רַגְלַ⁠י֙ הֱשִׁיבַ֣⁠נִי אָח֔וֹר	1	Here Jerusalem is speaking as if God were a hunter who **spread a net** to catch prey and **turned** her **back** so she could not escape. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [He trapped me and kept me from going forward]
1:14	ifur		rc://*/ta/man/translate/figs-metaphor	נִשְׂקַד֩ עֹ֨ל פְּשָׁעַ֜⁠י בְּ⁠יָד֗⁠וֹ יִשְׂתָּֽרְג֛וּ עָל֥וּ עַל־צַוָּארִ֖⁠י	1	Here Jerusalem is speaking as if her sins were **a yoke** that was **bound fast** and **intertwined** and placed on her **neck**, like the wooden frame placed on the neck of a draft animal to control it. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [My sins have completely overpowered me] or [Yahweh has made my sins control me completely]
1:14	obmy		rc://*/ta/man/translate/figs-activepassive	נִשְׂקַד֩ עֹ֨ל פְּשָׁעַ֜⁠י	1	The expression **The yoke of my transgressions was bound fast** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is God. Alternate translation: [He bound fast the yoke of my transgressions]
1:14	nklm		rc://*/ta/man/translate/figs-abstractnouns	פְּשָׁעַ֜⁠י	1	If your language does not use an abstract noun for the idea of **transgressions**, you could express the same idea in another way. Alternate translation: [of the ways I transgressed]
1:14	c7wi		rc://*/ta/man/translate/figs-abstractnouns	כֹּחִ֑⁠י	1	If your language does not use an abstract noun for the idea of **strength**, you could express the same idea in another way. Alternate translation: [me to become weak]
1:15	dx35		rc://*/ta/man/translate/figs-metaphor	גַּ֚ת דָּרַ֣ךְ אֲדֹנָ֔⁠י לִ⁠בְתוּלַ֖ת בַּת־יְהוּדָֽה	1	Here Jerusalem is speaking as if the Lord were a person who has **trodden the winepress**, crushing grapes underfoot. She means that the Lord has crushed the people of Judah in judgment. If this image communicates well in your language, please use it. If not, you could express this as a comparison. Alternate translation: [The Lord has crushed the virgin daughter of Judah like grapes in a winepress]
1:15	zdp2		rc://*/ta/man/translate/figs-metaphor	לִ⁠בְתוּלַ֖ת בַּת־יְהוּדָֽה	1	Jerusalem is speaking of the people of Judah as if they were a **virgin daughter**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [for the people of Judah]
1:16	n4db		rc://*/ta/man/translate/figs-doublet	אֲנִ֣י בוֹכִיָּ֗ה עֵינִ֤⁠י ׀ עֵינִ⁠י֙ יֹ֣רְדָה מַּ֔יִם	1	The repetition of the phrases, **I, I am weeping** and **my eye, my eye** is an emphatic form. Jerusalem is using the repetition for emphasis to express the intensity of her weeping. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [I am weeping; my eye is continually running down with water]
1:16	uqv5		rc://*/ta/man/translate/figs-metaphor	עֵינִ֤⁠י ׀ עֵינִ⁠י֙ יֹ֣רְדָה מַּ֔יִם	1	Here Jerusalem is speaking as if her **eye** were a stream of water **running down**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [my tears are flowing constantly]
1:16	f8d9		rc://*/ta/man/translate/figs-genericnoun	מְנַחֵ֖ם	1	Jerusalem is not referring to a specific **comforter**. She means anyone in general who could comfort. If it would be helpful to your readers, you could use an expression that would be more natural in your language. Alternate translation: [anyone to comfort me]
1:16	q57q		rc://*/ta/man/translate/figs-metaphor	מֵשִׁ֣יב נַפְשִׁ֑⁠י	1	Jerusalem is speaking of her **life** as if it were something that could be restored and given back to her. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [who could revive my strength]
1:17	v4lc		rc://*/ta/man/translate/figs-personification	פֵּֽרְשָׂ֨ה צִיּ֜וֹן בְּ⁠יָדֶ֗י⁠הָ	1	The author is speaking of **Zion** as if it were a woman who could **spread out her hands** in a gesture of pleading. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [The people of Zion plead for help]
1:17	sqy3		rc://*/ta/man/translate/figs-metaphor	הָיְתָ֧ה יְרוּשָׁלִַ֛ם לְ⁠נִדָּ֖ה בֵּינֵי⁠הֶֽם	1	Here the author is speaking as if Jerusalem were an object of ritual **abhorrence**, something that the surrounding nations treat as defiling and avoid. See the note on [verse 8](../01/08.md). Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Jerusalem has become something all the surrounding nations consider filthy]
1:18	mowh		rc://*/ta/man/translate/figs-personification	צַדִּ֥יק ה֛וּא יְהוָ֖ה כִּ֣י פִ֣י⁠הוּ מָרִ֑יתִי	1	It would be good to present [verse18](../01/11.md) through [verse22](../01/22.md) as a direct quotation, if possible, to show that the city of Jerusalem is speaking. In [verses18–19], Jerusalem speaks to passers–by, and in [20–22] she speaks directly to Yahweh.
1:18	jyib		rc://*/ta/man/translate/figs-metonymy	כִּ֣י פִ֣י⁠הוּ מָרִ֑יתִי	1	Here, **his mouth** represents his commands. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [for I have rebelled against his commands]
1:18	t3uz		rc://*/ta/man/translate/figs-apostrophe	כָל־עמים	1	Jerusalem is speaking to **all peoples**. She is doing this to communicate to the people listening that she feels very strongly about her suffering. If it would be helpful in your language, you could translate these words as if she were speaking directly to the people as in the UST.
1:19	jrc0		rc://*/ta/man/translate/figs-doublet	הֵ֣מָּה רִמּ֔וּ⁠נִי	1	The repetition of the pronoun **they, they** is an emphatic form. Jerusalem is using the repetition for emphasis to express the depth of betrayal. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [they completely deceived me]
1:19	cf6f		rc://*/ta/man/translate/figs-euphemism	גָּוָ֑עוּ	1	Jerusalem is referring to death in a polite way by using the word **expired**. Depending on what is helpful for your readers, you could use a polite way of referring to this in your language, or you could state this plainly. Alternate translation: [passed away] or [died]
1:20	ot10		rc://*/ta/man/translate/figs-imperative	רְאֵ֨ה יְהוָ֤ה כִּֽי־צַר־לִ⁠י֙	1	This is an imperative, but it communicates a polite request rather than a command. Jerusalem is urgently appealing to Yahweh to observe her suffering. If the imperative does not communicate a polite request for your readers, then use a form in your language that communicates a polite request. Alternate translation: [Please see, Yahweh, that I am in distress]
1:20	e9y0		rc://*/ta/man/translate/figs-metonymy	מֵעַ֣⁠י חֳמַרְמָ֔רוּ	1	Here, **my inward parts** represent deep emotions. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [I am deeply distressed]
1:20	r8cg		rc://*/ta/man/translate/figs-metaphor	נֶהְפַּ֤ךְ לִבִּ⁠י֙ בְּ⁠קִרְבִּ֔⁠י	1	Here Jerusalem is speaking as if her **heart** had been physically **overturned within** her. She means that she is in complete emotional anguish. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I am in total anguish within myself]
1:20	b3kv		rc://*/ta/man/translate/figs-activepassive	נֶהְפַּ֤ךְ לִבִּ⁠י֙ בְּ⁠קִרְבִּ֔⁠י	1	The expression **my heart has been overturned** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is God. Alternate translation: [God has overturned my heart within me]
1:20	veox		rc://*/ta/man/translate/figs-merism	מִ⁠ח֥וּץ שִׁכְּלָה־חֶ֖רֶב בַּ⁠בַּ֥יִת כַּ⁠מָּֽוֶת	1	Jerusalem is referring to all of the destruction by naming two extremes, **Outside** and **inside**. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [Everywhere there is death, both outside in the streets and inside the buildings]
1:21	vdsa		rc://*/ta/man/translate/figs-genericnoun	אֵ֤ין מְנַחֵם֙ לִ֔⁠י	1	Jerusalem is not referring to a specific **comforter**. She means, in a general sense, someone who is willing or able to comfort her. See how you translated the same word in [verse16](../01/16.md). Alternate translation: [there is no one able to comfort me] or [there is no one willing to comfort me]
1:21	shfj		rc://*/ta/man/translate/figs-abstractnouns	רָֽעָתִ⁠י֙	1	If your language does not use an abstract noun for the idea of **calamity**, you could express the same idea in another way. Alternate translation: [the tragic events that we have experienced]
1:21	y25y		rc://*/ta/man/translate/figs-imperative3p	וְ⁠יִֽהְי֥וּ כָמֽוֹ⁠נִי	1	When Jerusalem says **and let them be like me**, she is saying what she wants God to do. Alternate translation: [and I desire that our enemies will suffer as we have] or [and God, you should require our enemies to experience the same]
1:22	hqlr		rc://*/ta/man/translate/figs-abstractnouns	פְּשָׁעָ֑⁠י	1	If your language does not use an abstract noun for the idea of **transgressions**, you could express the same idea in another way. Alternate translation: [the wrong actions I have done]
2:intro	w57v				0	# Lamentations 2 Chapter Introduction\n\n## Structure and Formatting\n\nLamentations 2 is a 22–verse acrostic poem; each verse begins with a successive letter of the Hebrew alphabet. The poet portrays Yahweh himself as a warrior and enemy who has brought destruction on Jerusalem and her people.\n\n## Religious and Cultural Concepts in This Lament\n\n### The daughter of Zion\n\nThe phrase “daughter of Zion” is an idiom, a common expression in the original language for referring to a city and its inhabitants. Translators should render this in a way that is clear and natural in their language.\n\n### The footstool of God\n\nThe temple in Jerusalem was spoken of as the footstool of God, the place where his presence rested on earth. This image makes the destruction of the temple especially shocking.\n\n## Translation Issues in This Chapter\n\n### Acrostic structure\n\nEach verse begins with a successive Hebrew letter (aleph through taw). Most languages cannot reproduce this pattern; a brief note explaining the acrostic to readers is sufficient.
2:1	efsq		rc://*/ta/man/translate/figs-exclamations	אֵיכָה֩ יָעִ֨יב בְּ⁠אַפּ֤⁠וֹ ׀ אֲדֹנָ⁠י֙ אֶת־בַּת־צִיּ֔וֹן	1	The exclamation **How** indicates that Jeremiah is expressing his grief and sorrow over what the Lord has done to Jerusalem. Your language may have its own way of expressing feelings of grief and sorrow. Alternate translation: [The Lord has covered with a cloud in his anger the daughter of Zion]
2:1	mtp4		rc://*/ta/man/translate/figs-metaphor	יָעִ֨יב	1	The writer is speaking of the Lord bringing judgment on Jerusalem as if the Lord **covered with a cloud** the city, that is, as if he brought darkness and gloom upon it. If your language has a comparable expression, you could use it. If not, you could state the meaning plainly. Alternate translation: [has darkened]
2:1	b19g		rc://*/ta/man/translate/figs-idiom	בְּ⁠אַפּ֤⁠וֹ	1	The writer is using the phrase **in his nose** as a common expression of the culture to mean that the Lord is angry. If this phrase does not have that meaning for your readers, use a comparable expression from your language that does have that meaning or state the meaning plainly. Alternate translation: [in his wrath]
2:1	nvaf		rc://*/ta/man/translate/figs-idiom	אֶת־בַּת־צִיּ֔וֹן	1	The writer is speaking of the people of Jerusalem as if they were a **daughter** of the city. This is a common expression in the original language for referring to a city and its inhabitants. If your language has a comparable expression, you could use it. If not, you could state the meaning plainly here and elsewhere in this lament. See the Lamentations 2 Introduction for more information. Alternate translation: [the people of Jerusalem]
2:1	x89p		rc://*/ta/man/translate/figs-metaphor	הִשְׁלִ֤יךְ מִ⁠שָּׁמַ֨יִם֙ אֶ֔רֶץ תִּפְאֶ֖רֶת יִשְׂרָאֵ֑ל	1	The writer is speaking of the Lord removing Israel’s honor as if the Lord had **cast down from heaven to earth the splendor of Israel**. The image of heaven represents a high and honored position, while earth represents a low and disgraced position. If your language has a comparable expression, you could use it. If not, you could state the meaning plainly. Alternate translation: [He has taken away the honor of Israel and made it a disgrace]
2:1	lbuq		rc://*/ta/man/translate/figs-abstractnouns	תִּפְאֶ֖רֶת יִשְׂרָאֵ֑ל	1	If your language does not use an abstract noun for the idea of **splendor**, you could express the same idea in another way. Alternate translation: [everything that made Israel splendid]
2:1	i5ta		rc://*/ta/man/translate/figs-metonymy	הֲדֹם־רַגְלָ֖י⁠ו	1	Here, **the footstool of his feet** represents the temple in Jerusalem, since the temple was considered the place where God’s presence rested on earth, as a king rests his feet on a footstool. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [his temple]
